station,lines,latitude,longitude,am_entries,am_exits,pm_entries,pm_exits,am_flow,pm_flow
BEDFORD/NOSTRAN,G,40.689636,-73.953459,27029,5134,20145,14873,in,in
CLASSON AVE,G,40.688855,-73.960025,15782,5291,12578,16151,in,out
CLINTON-WASH AV,G,40.688123,-73.966742,8090,602,13982,3035,in,in
FULTON ST,G,40.68713,-73.975346,7790,9051,15869,15295,out,in
47-50 ST-ROCK,BDFM,40.758652,-73.981311,27702,248029,272652,110877,out,in
42 ST-BRYANT PK,BDFM7,40.754198,-73.984573,23559,136233,172104,95412,out,in
23 ST-6 AVE,FM,40.742981,-73.992727,33552,65745,104197,65486,out,in
14 ST-6 AVE,FLM123,40.737348,-73.9969,19630,50954,69915,64693,out,in
BROADWAY/LAFAY,BDFQ6,40.725297,-73.996204,8837,28872,110588,92799,out,in
GRAND ST,BD,40.718542,-73.994164,35326,52256,100620,53601,out,in
2 AVE,F,40.723291,-73.989873,32750,28685,52848,60615,in,out
DELANCEY ST,FJMZ,40.71838,-73.987813,17739,10966,47777,44962,in,in
EAST BROADWAY,F,40.713647,-73.990152,32165,15134,47532,21897,in,in
YORK ST,F,40.699756,-73.98689,6878,7061,35429,16483,out,in
BERGEN ST,FG,40.686154,-73.990881,15985,6078,32609,25773,in,in
CARROLL ST,FG,40.680231,-73.99498,32739,9532,31928,17377,in,in
SMITH-9 ST,FG,40.673714,-73.996139,11375,14296,16239,16594,out,out
4 AVE,DFGMNR,40.67032,-73.988757,8587,9177,13178,19070,out,out
7 AV-PARK SLOPE,FG,40.666276,-73.980324,17895,1476,32936,10180,in,in
FT HAMILTON PKY,FG,40.650722,-73.975818,13022,1082,11981,7003,in,in
CHURCH AVE,FG,40.644039,-73.979541,35486,9029,24772,23382,in,in
DITMAS AVE,F,40.63615,-73.978179,9352,3168,9264,11806,in,out
18 AVE,F,40.629881,-73.977149,12828,4969,10653,10941,in,out
AVE I,F,40.625305,-73.975732,3515,2261,6134,6572,in,out
22 AVE-BAY PKY,F,40.620907,-73.975453,3490,814,3585,1904,in,in
AVE N,F,40.615174,-73.974166,8123,2402,7188,8408,in,out
AVE P,F,40.609147,-73.972986,10344,2176,5895,5328,in,in
KINGS HIGHWAY,F,40.603234,-73.972342,8340,3416,8113,13183,in,out
AVE U,F,40.596065,-73.973329,5143,945,4727,2912,in,in
AVE X,F,40.589547,-73.974295,9565,2744,6725,5921,in,in
NEPTUNE AVE,F,40.580992,-73.974531,3616,699,3325,1670,in,in
57 ST,F,40.763625,-73.977449,4082,26043,65798,24156,out,in
LEXINGTON AVE,F,40.764763,-73.966291,18208,55513,56650,35406,out,in
ROOSEVELT IS,F,40.759123,-73.953266,17555,7298,17475,16565,in,in
21 ST,F,40.7541,-73.94258,24489,14323,25273,19231,in,in
JAMAICA-VAN WYC,E,40.702566,-73.816859,10344,5706,12387,18346,in,out
