C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/14/2015,20:00:00,REGULAR,0000000496,0000001342                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/15/2015,00:00:00,REGULAR,0000000508,0000001375                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/15/2015,04:00:00,REGULAR,0000000516,0000001389                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/15/2015,08:00:00,REGULAR,0000000517,0000001404                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/15/2015,12:00:00,REGULAR,0000000530,0000001515                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/15/2015,16:00:00,REGULAR,0000000575,0000001711                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/15/2015,20:00:00,REGULAR,0000000635,0000001880                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/16/2015,00:00:00,REGULAR,0000000653,0000001912                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/16/2015,04:00:00,REGULAR,0000000654,0000001919                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/16/2015,08:00:00,REGULAR,0000000656,0000001936                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/16/2015,12:00:00,REGULAR,0000000666,0000002033                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/16/2015,16:00:00,REGULAR,0000000692,0000002167                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/16/2015,20:00:00,REGULAR,0000000721,0000002259                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/17/2015,00:00:00,REGULAR,0000000727,0000002287                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/17/2015,04:00:00,REGULAR,0000000729,0000002293                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/17/2015,08:00:00,REGULAR,0000000730,0000002315                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/17/2015,12:00:00,REGULAR,0000000743,0000002409                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/17/2015,16:00:00,REGULAR,0000000759,0000002448                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/17/2015,20:00:00,REGULAR,0000000776,0000002538                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/18/2015,00:00:00,REGULAR,0000000784,0000002561                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/18/2015,04:00:00,REGULAR,0000000785,0000002572                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/18/2015,08:00:00,REGULAR,0000000785,0000002595                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/18/2015,08:20:55,REGULAR,0000000785,0000002604                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/18/2015,08:23:48,REGULAR,0000000785,0000002604                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/18/2015,10:00:02,REGULAR,0000000790,0000002643                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/18/2015,12:00:00,REGULAR,0000000792,0000002697                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/18/2015,16:00:00,REGULAR,0000000812,0000002808                                        
R550,R072,00-00-02,34 ST-HUDSON YD,7,IRT,09/18/2015,20:00:00,REGULAR,0000000852,0000002952                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/12/2015,00:00:00,REGULAR,0000000027,0000000085                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/12/2015,04:00:00,REGULAR,0000000027,0000000085                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/12/2015,08:00:00,REGULAR,0000000027,0000000087                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/12/2015,12:00:00,REGULAR,0000000028,0000000089                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/12/2015,16:00:00,REGULAR,0000000029,0000000095                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/12/2015,20:00:00,REGULAR,0000000029,0000000104                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/13/2015,00:00:00,REGULAR,0000000031,0000000109                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/13/2015,04:00:00,REGULAR,0000000031,0000000121                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/13/2015,08:00:00,REGULAR,0000000031,0000000143                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/13/2015,12:00:00,REGULAR,0000000044,0000000151                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/13/2015,16:00:00,REGULAR,0000000254,0000000621                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/13/2015,20:00:00,REGULAR,0000000438,0000000895                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/14/2015,00:00:00,REGULAR,0000000498,0000000979                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/14/2015,04:00:00,REGULAR,0000000503,0000000992                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/14/2015,08:00:00,REGULAR,0000000511,0000001042                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/14/2015,12:00:00,REGULAR,0000000548,0000001237                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/14/2015,12:52:19,REGULAR,0000000571,0000001300                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/14/2015,12:54:10,REGULAR,0000000571,0000001307                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/14/2015,16:00:00,REGULAR,0000000696,0000001632                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/14/2015,20:00:00,REGULAR,0000000865,0000001923                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/15/2015,00:00:00,REGULAR,0000000901,0000001983                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/15/2015,04:00:00,REGULAR,0000000909,0000001999                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/15/2015,08:00:00,REGULAR,0000000913,0000002034                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/15/2015,12:00:00,REGULAR,0000000961,0000002201                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/15/2015,16:00:00,REGULAR,0000001065,0000002468                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/15/2015,20:00:00,REGULAR,0000001219,0000002702                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/16/2015,00:00:00,REGULAR,0000001260,0000002766                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/16/2015,04:00:00,REGULAR,0000001266,0000002785                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/16/2015,08:00:00,REGULAR,0000001271,0000002801                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/16/2015,12:00:00,REGULAR,0000001305,0000002946                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/16/2015,16:00:00,REGULAR,0000001396,0000003136                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/16/2015,20:00:00,REGULAR,0000001498,0000003248                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/17/2015,00:00:00,REGULAR,0000001518,0000003287                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/17/2015,04:00:00,REGULAR,0000001527,0000003298                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/17/2015,08:00:00,REGULAR,0000001534,0000003325                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/17/2015,12:00:00,REGULAR,0000001566,0000003418                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/17/2015,16:00:00,REGULAR,0000001605,0000003486                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/17/2015,20:00:00,REGULAR,0000001686,0000003611                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/18/2015,00:00:00,REGULAR,0000001708,0000003650                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/18/2015,04:00:00,REGULAR,0000001714,0000003663                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/18/2015,08:00:00,REGULAR,0000001718,0000003693                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/18/2015,08:20:55,REGULAR,0000001721,0000003694                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/18/2015,08:23:48,REGULAR,0000001721,0000003696                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/18/2015,10:00:02,REGULAR,0000001728,0000003729                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/18/2015,12:00:00,REGULAR,0000001735,0000003789                                        
R550,R072,00-00-03,34 ST-HUDSON YD,7,IRT,09/18/2015,16:00:00,REGULAR,0000001773,0000003936                                        
